Brooklyn Bowl,4,31
Brooklyn Bowl,3,16
Brooklyn Bowl,2,15
Brooklyn Bowl,1,17
The Buffet at Bellagio,2,200
The Buffet at Bellagio,3,117
The Buffet at Bellagio,1,115
The Buffet at Bellagio,4,100
Serendipity,3,29
Serendipity,2,30
Serendipity,4,22
Serendipity,1,33
The Buffet,4,28
The Buffet,3,52
The Buffet,2,19
The Buffet,1,20
