name,review_count,stars
Bachelor Vegas,3074,4.7
XS Nightclub,2290,3.9
Tryst Nightclub,1500,4
Ghostbar,1245,4
Spearmint Rhino Las Vegas,2058,3.3
Wicked Spoon,3050,4.3
Little Darlings,1830,3.8
Haze Nightclub,2199,3.7
Club Paradise,990,3.7
Marquee Nightclub,4010,4.3
