name,hours.Monday.open,hours.Monday.close,stars
Bachelor Vegas,12:00,22:00,4.7
XS Nightclub,21:00,23:00,3.9
Tryst Nightclub,20:00,23:00,4
Ghostbar,17:00,22:30,4
Spearmint Rhino Las Vegas,0:00,23:59,3.3
Wicked Spoon,8:00,22:00,4.3
Little Darlings,11:00,23:00,3.8
Haze Nightclub,19:00,23:00,3.7
Club Paradise,18:00,23:30,3.7
Marquee Nightclub,21:00,23:30,4.3
