name,"review_count",stars
"Baguette Cafe",453,4.5
"Tea Station",442,3.0
"Sunrise Coffee",400,4.5
"Le Cafe Ile Saint Louis",313,2.5
"Espressamente Illy",233,4.5
"MadHouse Coffee",217,4.0
"Bronze Cafe at The Center",183,5.0
"Red Velvet Café",147,3.5
"La Belle Terre Bread French Bakery Café",143,4.5
"Fresh Cup",132,4.0
