name,"hours.Monday.open","hours.Monday.close",stars
"Brooklyn Bowl","12:00","14:00","4.0"
"Yard House","11:00","23:00","4.0"
"Bobby's Burger Palace","10:00","23:00","3.5"
"the Goodwich","08:00","14:00","4.5"
"JJANGA Japanese Restaurant","11:30","14:00","4.5"
"District One Kitchen & Bar","11:00","15:00","4.0"
"Cornish Pasty Co.","11:00","23:00","4.5"
"Doh Sushi & Tapas","12:00","15:00","3.5"
"MTO Café","08:00","14:00","4.5"
